glyph_name,ps_name,sort_design,sort_final
u16F00,u16F00,2001,1001
u16F01,u16F01,4002,1002
u16F02,u16F02,2101,1003
u16F03,u16F03,3001,1004
u16F04,u16F04,2002,1005
u16F05,u16F05,4003,1006
u16F06,u16F06,9001,1007
u16F07,u16F07,2102,1008
u16F08,u16F08,1001,1009
u16F09,u16F09,4004,1010
u16F0A,u16F0A,1002,1011
u16F0B,u16F0B,4005,1012
u16F0C,u16F0C,2103,1013
u16F0D,u16F0D,2104,1014
u16F0E,u16F0E,2105,1015
u16F0F,u16F0F,4006,1016
u16F10,u16F10,2003,1017
u16F11,u16F11,4007,1018
u16F12,u16F12,2201,1019
u16F13,u16F13,9002,1020
u16F14,u16F14,3002,1021
u16F15,u16F15,4008,1022
u16F16,u16F16,1003,1023
u16F17,u16F17,4009,1024
u16F18,u16F18,3003,1025
u16F19,u16F19,4010,1026
u16F1A,u16F1A,2004,1027
u16F1B,u16F1B,4011,1028
u16F1C,u16F1C,2301,1029
u16F1D,u16F1D,4012,1030
u16F1E,u16F1E,2005,1031
u16F1F,u16F1F,4013,1032
u16F20,u16F20,2106,1033
u16F21,u16F21,2107,1034
u16F22,u16F22,4014,1035
u16F23,u16F23,3004,1036
u16F24,u16F24,4015,1037
u16F25,u16F25,9003,1038
u16F26,u16F26,2108,1039
u16F27,u16F27,9004,1040
u16F28,u16F28,1004,1041
u16F29,u16F29,4016,1042
u16F2A,u16F2A,2006,1043
u16F2B,u16F2B,4017,1044
u16F2C,u16F2C,2206,1045
u16F2D,u16F2D,4018,1046
u16F2E,u16F2E,2117,1047
u16F2F,u16F2F,4019,1048
u16F30,u16F30,2118,1049
u16F31,u16F31,2110,1050
u16F32,u16F32,2111,1051
u16F33,u16F33,2203,1052
u16F34,u16F34,2301,1053
u16F35,u16F35,1005,1054
u16F36,u16F36,4020,1055
u16F37,u16F37,2112,1056
u16F38,u16F38,4021,1057
u16F39,u16F39,2113,1058
u16F3A,u16F3A,1006,1059
u16F3B,u16F3B,2204,1060
u16F3C,u16F3C,4022,1061
u16F3D,u16F3D,2007,1062
u16F3E,u16F3E,4023,1063
u16F3F,u16F3F,9005,1064
u16F40,u16F40,1007,1065
u16F41,u16F41,4024,1066
u16F42,u16F42,1008,1067
u16F43,u16F43,1009,1068
u16F44,u16F44,4025,1069
u16F45,u16F45,4026,1070
u16F46,u16F46,4027,1071
u16F47,u16F47,4028,1072
u16F48,u16F48,2114,1073
u16F49,u16F49,2115,1074
u16F4A,u16F4A,2116,1075
wart,wart,4001,1099
dot,dot,6001,2000
u16F01.dot,u16F01.dot,6002,2001
u16F05.dot,u16F05.dot,6003,2002
u16F09.dot,u16F09.dot,6004,2003
u16F0B.dot,u16F0B.dot,6005,2004
u16F0F.dot,u16F0F.dot,6006,2005
